,country,year,healthcare,education,safety,environment,infrastructure,qol
0,Austria,2008,-0.5430285296610998,-1.5650907648820709,-0.44662355439475976,0.2856850822870317,-0.09325443180178378,
1,Austria,2009,-0.3351811875265144,-1.4420417397072736,-0.4448069467438783,0.10314796074460764,-0.0916945496809239,
2,Austria,2010,-0.34612052132307247,-1.3989745808960943,-0.44376888522908886,0.1553014240424433,-0.08753725740024326,
3,Austria,2011,-0.4117565241024149,-1.391591639385606,-0.44143324682081264,0.10314796074460764,-0.08475136896344862,1.07512469036187
4,Austria,2012,-0.0726371764091414,-1.3042268315115002,-0.44647089828964365,0.07707122909569004,-0.050660136236899904,1.261656080920897
5,Austria,2013,-0.37893852271274214,-1.2045571211199142,-0.06115162336611681,0.18137815569136087,-0.030250631387444393,
6,Austria,2014,-0.8712085435578153,0.20681519763501174,-0.031643198247176305,-0.07938916079781597,-0.032000786816487416,1.0396574541288153
7,Austria,2015,-0.8055725407784728,0.313867849537086,0.028136932516285174,0.12922469239352524,-0.015581636345249988,0.9332557454296511
8,Austria,2016,-1.0134198829130598,0.4159985404321672,0.07629993368041207,0.024917765797854863,-0.003142070064974995,0.7848187937876085
9,Austria,2017,-1.0024805491165034,0.491058445788794,0.1749768400274537,0.18137815569136087,-0.0004261878453420852,0.9595277722689514
10,Austria,2018,-1.0462378843027311,0.5353560948517205,0.15174258082878456,0.25960835063811366,0.03393788962501642,1.1000831158592048
11,Austria,2019,-0.9477838801337158,0.655944139523022,0.1912805120538523,0.41606874053162013,0.04694289073621301,1.163135980273523
12,Austria,2020,-0.6414825338301151,0.6645575712852578,0.14575846150823377,0.024917765797854863,-0.17495886735434898,1.1289823453824337
13,Austria,2021,-0.06169784261258484,0.7433089473971283,0.06448435114442659,0.024917765797854863,-0.12787699376627787,0.991054204476111
14,Austria,2022,-0.16015184678159852,0.8257517942642427,0.06098852633726809,-0.027235697499980782,0.00671085624273488,0.9043565159064223
15,Austria,2023,,,,,,0.6521450582491453
16,Austria,2024,,,,,,0.527352930762471
17,Belgium,2008,0.45245084582560297,0.3200203007958251,-0.2500940846683034,1.1983706899991506,-0.13427987008976142,
18,Belgium,2009,0.4743295134187161,0.455374228488102,-0.24847592995407283,0.8854499102121381,-0.12762927945939795,
19,Belgium,2010,0.35399684165658774,0.6005720781943629,-0.25168170816151075,1.0419103001056442,-0.11765070096703882,
20,Belgium,2011,0.39775417684281705,0.5599658998866808,-0.26580239788474924,0.7550662519675497,-0.1076793025995168,0.9253741373778621
21,Belgium,2012,0.6384195203670738,0.6854759055649736,-0.30382903366916764,0.676836057020797,,0.7335883414509734
22,Belgium,2013,0.47432951341871765,0.728543064376152,-0.3025314567756809,0.6507593253718789,,
23,Belgium,2014,0.5180868486049486,0.8651274823201779,0.3647741755182904,0.4942989354783729,,0.6941803011920248
24,Belgium,2015,0.5509048499946182,0.8675884628236734,0.3269917895020577,0.5986058620740438,,0.6836714904563049
25,Belgium,2016,0.43057217823248983,0.9377264071733088,0.37162843463800294,0.5464523987762085,,0.6337546394616352
26,Belgium,2017,0.4305721782324883,1.242887989606805,0.4124334115355342,0.5203756671272904,,0.681044287772374
27,Belgium,2018,0.3868148430462605,1.2810331874109926,0.4358203268393194,0.5203756671272904,,0.6757898824045148
28,Belgium,2019,0.1680281671151169,1.2982600509354643,0.4962568788547801,0.4942989354783729,,0.5982874032285804
29,Belgium,2020,0.46339017962215956,1.5012909424738798,0.46798496818727997,0.25960835063811366,,0.5588793629696307
30,Belgium,2021,0.6384195203670738,1.7781512491171738,0.38851219986384267,0.3117618139359493,,0.5207849240526462
31,Belgium,2022,0.4415115120290449,1.824909878683597,0.4074720881192612,0.1553014240424433,,0.5917193965187557
32,Belgium,2023,,,,,,0.6376954434875303
